response_metric,species_key,guild,estimate,post_sd,lcl,ucl,prob_positive,excludes_zero,k,n_studies
abundance,indigo_bunting,facultative_grassland,0.37365974919606604,0.171867504094677,0.050376158802536784,0.7191322763772887,0.9886666666666667,TRUE,13,7
abundance,song_sparrow,facultative_grassland,0.3589302656873514,0.15601759995020179,0.05849531600455093,0.669132347486698,0.9904583333333333,TRUE,22,9
abundance,rufous_crowned_sparrow,facultative_grassland,0.32237555803873863,0.25797944191117267,-0.14881991830039512,0.8751074953096926,0.9079166666666667,FALSE,2,1
abundance,ring_necked_pheasant,facultative_grassland,0.23808254320167943,0.18020541886991429,-0.10436426815603712,0.6071819881775499,0.9132916666666666,FALSE,14,4
abundance,field_sparrow,facultative_grassland,0.20130358941602156,0.16796562362714323,-0.12380370304438826,0.5302137826705666,0.88875,FALSE,11,8
abundance,western_kingbird,facultative_grassland,0.19625576836665806,0.2086952411550852,-0.20081470840336818,0.6236336917827968,0.8338333333333333,FALSE,7,2
abundance,lark_sparrow,facultative_grassland,0.18659947927993067,0.1903434906778439,-0.17793527052416952,0.5659544032565095,0.841375,FALSE,10,6
abundance,grassland_species,facultative_grassland,0.18653992770089634,0.219204607560699,-0.22782914833210777,0.6335288232830228,0.8055833333333333,FALSE,6,3
abundance,eurasian_skylark,facultative_grassland,0.1590660857600855,0.2263104780994186,-0.27666907674211627,0.6236813020747535,0.7661666666666667,FALSE,2,1
abundance,american_goldfinch,facultative_grassland,0.1543509061001379,0.14685088003754446,-0.130924247407468,0.4483022158918967,0.8577083333333333,FALSE,22,11
abundance,white_crowned_sparrow,facultative_grassland,0.13488357456544275,0.22977155904065902,-0.31401720570659497,0.5952425389124789,0.726125,FALSE,2,2
abundance,canyon_towhee,facultative_grassland,0.12413320884579873,0.23796674308810842,-0.3300146917935931,0.6085582418323289,0.7041666666666667,FALSE,2,1
abundance,cliff_swallow,facultative_grassland,0.12322804302747112,0.20540094880131707,-0.27705015877421735,0.5312041666769745,0.725875,FALSE,6,2
