response_metric,guild,bmp,estimate,lcl,ucl,prob_positive,excludes_zero,k,n_studies,meets_primary_threshold
abundance,facultative_grassland,plant_nwsg,0.39059721019637916,0.14563434440749493,0.6409461727279608,0.9985833333333334,TRUE,64,10,TRUE
abundance,facultative_grassland,eliminate_pesticides,0.1642675175723334,-0.22666411526543181,0.5401544966282018,0.7999166666666667,FALSE,42,4,TRUE
abundance,facultative_grassland,reduce_grazing_intensity,0.15015655803072858,-0.32759769394267696,0.6145369593745537,0.7305,FALSE,12,3,TRUE
abundance,facultative_grassland,edge_and_shrub_habitat,0.10835468098119197,-0.142880366283206,0.35628654739731414,0.8069583333333333,FALSE,66,10,TRUE
abundance,facultative_grassland,rotational_grazing,0.08945690493165867,-0.4508861998111497,0.6295849737383656,0.6282916666666667,FALSE,10,3,TRUE
abundance,facultative_grassland,provide_overwintering_habitat,0.024394149933461166,-0.29013664065120554,0.3326198880624022,0.5605833333333333,FALSE,48,5,TRUE
abundance,facultative_grassland,remove_non_native_shrubs,-0.022250357764312827,-0.3404201041372128,0.30541792358061276,0.44666666666666666,FALSE,60,4,TRUE
abundance,facultative_grassland,prescribed_fire,-0.34863705127586997,-0.6040333816594295,-0.10163149784228073,0.002958333333333333,TRUE,97,11,TRUE
abundance,obligate_grassland,manage_in_patches,0.5592844542915281,0.1869419887047596,0.9282139557236132,0.9983333333333333,TRUE,23,5,TRUE
abundance,obligate_grassland,reduce_grazing_intensity,0.4541192597806569,0.02548516013596901,0.8889247737903179,0.9809166666666667,TRUE,14,3,TRUE
abundance,obligate_grassland,provide_overwintering_habitat,0.4397847705573663,0.02061391820834653,0.855285735948746,0.9805,TRUE,18,3,TRUE
abundance,obligate_grassland,prescribed_fire,0.3192064223716612,0.09850214620757372,0.5392321016025868,0.9975416666666667,TRUE,169,18,TRUE
abundance,obligate_grassland,eliminate_pesticides,0.30409358233917105,-0.0868193351521395,0.6914469302598786,0.9394166666666667,FALSE,25,6,TRUE
abundance,obligate_grassland,plant_nwsg,0.15121259710057347,-0.083662594189295,0.3958802414173145,0.8935833333333333,FALSE,69,17,TRUE
abundance,obligate_grassland,stream_exclusion_and_buffers,0.1334024237899127,-0.2737902705450069,0.5396336438458397,0.7433333333333333,FALSE,12,3,TRUE
abundance,obligate_grassland,rotational_grazing,0.08074568315482908,-0.31151617329591014,0.4840433492885658,0.6513333333333333,FALSE,25,5,TRUE
abundance,obligate_grassland,edge_and_shrub_habitat,-0.12223667258580623,-0.40198202454862914,0.1571059847840431,0.19554166666666667,FALSE,33,9,TRUE
nest_success,facultative_grassland,edge_and_shrub_habitat,0.37026044637534344,-0.2783762442029055,0.9281905744591787,0.8845833333333334,FALSE,8,3,TRUE
nest_success,obligate_grassland,delay_hay,0.9771800307923624,0.44816920915309916,1.5055847174991324,0.999375,TRUE,7,4,TRUE
nest_success,obligate_grassland,plant_nwsg,0.1844686225653626,-0.3168574861625125,0.6554426067542864,0.7909583333333333,FALSE,16,4,TRUE
nest_success,obligate_grassland,edge_and_shrub_habitat,-0.435751877264148,-0.9563125103395507,0.07588066453082751,0.04833333333333333,FALSE,6,5,TRUE
