response_metric,species_key,guild,estimate,post_sd,lcl,ucl,prob_positive,excludes_zero,k,n_studies
abundance,song_sparrow,facultative_grassland,0.3780906952263715,0.16248416541097876,0.06226878094162941,0.6982379344824644,0.9908333333333333,TRUE,22,9
abundance,rufous_crowned_sparrow,facultative_grassland,0.3639077353781837,0.292693018207421,-0.16986772598683217,0.9857696032040916,0.904875,FALSE,2,1
abundance,indigo_bunting,facultative_grassland,0.2699586972268946,0.17802740403002018,-0.07060702667470854,0.6260498213879985,0.9389583333333333,FALSE,13,7
abundance,ring_necked_pheasant,facultative_grassland,0.22444466825833206,0.18706074288069152,-0.13276466419239463,0.6000503249120495,0.8911666666666667,FALSE,14,4
abundance,grassland_species,facultative_grassland,0.196251771548893,0.24514406003369432,-0.2634549409104988,0.6956778579710574,0.7970416666666666,FALSE,6,3
abundance,field_sparrow,facultative_grassland,0.1855678780388615,0.17854258519240898,-0.16382950128186116,0.5390123488167896,0.850625,FALSE,11,8
abundance,western_kingbird,facultative_grassland,0.17517643378187528,0.2309269091013691,-0.26357706513041096,0.6411300008665523,0.7842083333333333,FALSE,7,2
abundance,lark_sparrow,facultative_grassland,0.1669246572767954,0.206309797748189,-0.23236505454171316,0.5780752343376073,0.7931666666666667,FALSE,10,6
abundance,eurasian_skylark,facultative_grassland,0.14169134094484598,0.2557870392826136,-0.3463599224580621,0.6526847336463949,0.71625,FALSE,2,1
abundance,american_goldfinch,facultative_grassland,0.13928339684964972,0.14949191432528988,-0.1490779202125013,0.4328521369433673,0.8242083333333333,FALSE,22,11
abundance,cliff_swallow,facultative_grassland,0.13331560213653865,0.22823884939429956,-0.3110735630791879,0.5919047747285655,0.7231666666666666,FALSE,6,2
abundance,canyon_towhee,facultative_grassland,0.09855344263560434,0.2718433191624677,-0.4264891122551376,0.64298952786433206,0.6460416666666666,FALSE,2,1
abundance,eastern_kingbird,facultative_grassland,0.09639855703758396,0.2128515307324104,-0.314991193505875,0.5206031919623634,0.6816666666666666,FALSE,7,5
abundance,ortolan_bunting,facultative_grassland,0.08556484298105013,0.2507021341730762,-0.40605579420715365,0.585463920376827,0.6329166666666667,FALSE,2,1
abundance,dark_eyed_junco,facultative_grassland,0.08297514361313944,0.23633774983992326,-0.37953478290572845,0.552197451054249,0.643,FALSE,4,3
abundance,northern_bobwhite,facultative_grassland,0.08040543574991316,0.19772175592569152,-0.3023685381390477,0.47197648161038397,0.6590833333333334,FALSE,11,7
abundance,common_snipe,facultative_grassland,0.06736287892521314,0.28328430905587804,-0.48041601825706765,0.6450957332998428,0.595875,FALSE,1,1
abundance,loggerhead_shrike,facultative_grassland,0.05593700628713852,0.25089078105104745,-0.4360255765763107,0.5532799249425244,0.5909166666666666,FALSE,3,2
abundance,swamp_sparrow,facultative_grassland,0.04865663685504036,0.28261200989726076,-0.5012363433074377,0.617399947465275,0.570625,FALSE,1,1
abundance,house_finch,facultative_grassland,0.04784587487380093,0.2593593098327967,-0.46520444758457136,0.5604672487557671,0.578625,FALSE,2,2
abundance,ground_breeders,facultative_grassland,0.045097488409998554,0.276170073191812,-0.4880130332989293,0.5985131815807578,0.566,FALSE,2,1
abundance,common_nighthawk,facultative_grassland,0.04422170247989475,0.25225586849617926,-0.44270735135747635,0.5467760122016821,0.5737916666666667,FALSE,3,2
abundance,baltimore_oriole,facultative_grassland,0.04006779701296058,0.2829124010548921,-0.5108676077361735,0.6115697262333843,0.5566666666666666,FALSE,1,1
abundance,brown_headed_cowbird,facultative_grassland,0.03460200779724852,0.12196983187485162,-0.20784407673940436,0.27520329637979796,0.612375,FALSE,38,15
abundance,blue_grosbeak,facultative_grassland,0.03190135522276602,0.29158002789606574,-0.5401282987251835,0.6136696708486122,0.5455833333333333,FALSE,1,1
abundance,chipping_sparrow,facultative_grassland,0.02465819288168436,0.22042913449949772,-0.4087751433747723,0.454866873616999,0.545375,FALSE,5,4
abundance,california_quail,facultative_grassland,0.020058733678816287,0.27056969388759505,-0.5121210355703353,0.568535693595859,0.5292916666666667,FALSE,1,1
